"시도(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
"시도(1)",총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,음식물류폐기물분리배출
"시도(1)",소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,폐식용유,기타,소계
"시도(1)",소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",40542.7,17495.5,14750.2,140.2,4990.9,1305.0,901.1,2509.5,4903.5,2745.3,389.0,314.6,475.3,1566.4,12037.0,3817.9,1678.2,634.9,1067.8,922.2,123.1,68.0,17.7,16.9,56.4,1987.0,126.9,506.4,328.3,18.8,666.5,11010.2
"서울",7567.7,2810.2,2668.0,2.5,740.6,132.4,106.4,246.0,1440.1,142.2,23.6,22.7,15.6,80.3,2148.3,801.4,333.9,109.4,195.2,180.1,28.2,21.2,10.3,11.0,24.7,130.7,13.6,3.7,100.4,7.0,177.5,2609.2
"부산",2648.2,778.2,707.1,0.0,308.4,26.6,49.5,180.5,142.1,71.1,6.9,3.9,0.3,60.0,1246.2,617.2,167.8,68.1,149.2,16.1,0.7,0.1,0.0,0.0,0.5,137.5,0.1,0.3,0.0,0.0,88.6,623.8
"대구",2158.9,975.2,592.2,0.0,94.9,92.9,22.6,146.5,235.3,383.0,50.7,11.7,1.4,319.2,632.0,163.3,124.3,52.3,76.6,59.8,4.6,2.7,0.0,0.0,2.0,70.3,12.1,0.9,30.0,1.5,31.6,551.7
"인천",1608.8,767.3,648.6,1.5,126.3,51.4,47.6,40.8,381.0,118.7,10.3,12.9,8.6,86.9,247.7,37.2,36.8,4.6,20.7,71.2,2.1,0.2,0.0,0.0,0.9,55.8,1.7,0.8,7.2,0.0,8.5,593.8
"광주",1195.6,443.6,331.0,0.0,92.6,23.2,26.5,80.6,108.1,112.6,20.2,16.2,39.2,37.0,339.4,57.7,37.1,20.2,52.8,49.2,1.4,0.2,0.6,0.1,1.1,64.2,8.7,0.3,5.4,0.1,40.3,412.6
"대전",1301.7,456.5,411.4,0.0,147.9,71.1,29.1,108.7,54.6,45.1,6.7,8.9,2.1,27.4,473.4,148.6,99.5,31.4,64.9,68.9,0.3,0.3,0.0,0.0,0.5,54.3,0.1,0.8,0.0,0.0,3.8,371.8
"울산",1032.1,350.5,301.3,0.0,94.9,36.4,26.5,64.7,78.8,49.2,12.3,4.9,16.9,15.1,395.9,99.2,50.9,45.5,20.0,40.5,4.6,0.2,0.0,0.1,0.3,105.8,7.6,2.5,5.9,2.0,10.8,285.7
"세종",70.1,35.5,31.6,12.8,4.6,1.2,1.4,5.2,6.4,3.9,0.4,0.2,2.1,1.2,13.1,1.3,2.0,1.0,1.0,1.9,1.5,0.0,0.0,0.0,0.1,0.7,0.0,1.4,1.2,0.0,1.0,21.5
"경기",8141.5,3592.2,3360.3,29.8,1276.5,323.7,202.6,589.8,937.9,231.9,27.1,25.7,35.7,143.4,2051.9,542.6,428.1,126.9,214.0,218.4,34.0,14.2,0.3,0.0,13.0,192.5,27.1,41.3,71.2,0.7,127.6,2497.4
"강원",1834.4,914.0,697.6,3.0,207.6,64.8,53.2,112.4,256.6,216.4,27.5,39.8,55.9,93.2,662.9,211.3,66.8,67.8,41.1,19.6,5.2,1.7,4.2,5.1,0.5,162.9,7.6,37.2,18.9,0.6,12.4,257.5
"충북",1579.0,675.3,461.0,9.3,178.8,64.0,28.4,71.1,109.4,214.3,8.2,9.9,101.8,94.4,648.9,270.0,40.2,15.3,47.0,29.3,2.5,23.5,0.0,0.0,4.8,122.6,5.9,67.7,13.0,0.1,7.0,254.8
"충남",2066.8,963.4,643.5,31.3,215.7,68.1,61.0,131.2,136.2,319.9,43.3,49.7,20.6,206.3,726.7,176.4,46.1,15.0,29.6,24.4,7.6,1.3,0.6,0.0,2.1,326.2,5.7,62.0,6.4,0.2,23.1,376.7
"전북",1549.2,679.8,570.0,5.3,189.7,61.5,55.8,115.1,142.6,109.8,22.8,22.8,20.2,44.0,379.0,103.5,46.9,16.2,45.5,43.2,3.0,0.3,0.0,0.0,0.5,16.5,7.2,47.0,39.8,1.1,8.3,490.4
"전남",1696.8,895.3,802.4,16.8,320.1,45.0,33.1,138.1,249.3,92.9,18.3,14.6,24.0,36.0,456.9,119.4,66.0,15.5,45.5,19.2,6.8,0.8,1.6,0.5,0.9,71.4,5.1,89.1,5.4,0.5,9.2,344.6
"경북",2389.2,1360.9,1111.6,20.9,409.2,113.4,59.0,184.7,324.4,249.3,30.4,27.6,58.0,133.3,549.3,192.6,36.7,10.7,22.2,11.2,8.3,0.4,0.0,0.0,1.8,133.5,8.2,90.0,9.5,1.5,22.7,479.0
"경남",2846.5,1398.5,1137.0,7.0,444.4,90.7,80.3,270.1,244.5,261.5,42.4,25.8,50.8,142.5,802.9,207.4,84.8,27.9,40.1,46.8,12.1,0.8,0.1,0.1,2.6,219.6,11.1,41.1,13.0,1.5,93.9,645.1
"제주",856.2,399.1,275.6,0.0,138.7,38.6,18.1,24.0,56.2,123.5,37.9,17.3,22.1,46.2,262.5,68.8,10.3,7.1,2.4,22.4,0.2,0.1,0.0,0.0,0.1,122.5,5.1,20.3,1.0,2.0,0.2,194.6
