"시도(1)",2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"시도(1)",총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,재활용가능자원 분리배출,음식물류폐기물분리배출
"시도(1)",소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,폐식용유,기타,소계
"시도(1)",소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",41644.2,17479.4,14898.5,158.3,4964.8,1398.1,974.4,2483.0,4919.9,2580.9,392.8,300.7,447.1,1440.3,12666.8,4115.1,1740.6,679.7,1187.8,892.4,168.8,56.7,22.6,24.9,47.7,2001.1,182.0,487.8,317.3,16.5,725.8,11498.0
"서울",8010.6,2864.4,2724.5,17.8,711.4,213.5,120.5,232.7,1428.6,139.9,30.6,26.1,19.7,63.5,2309.3,867.3,363.6,120.1,212.8,171.1,25.4,16.6,15.2,19.2,15.7,163.4,26.2,0.0,78.5,7.4,206.8,2836.9
"부산",2698.1,854.6,764.0,0.0,360.3,37.2,47.9,191.8,126.8,90.6,11.1,4.9,1.9,72.7,1231.0,602.4,170.4,59.4,133.9,44.7,0.7,2.7,0.0,0.0,0.6,144.2,0.0,0.3,2.2,0.0,69.5,612.5
"대구",2084.3,914.4,559.1,0.0,135.1,40.2,18.5,138.3,227.0,355.3,47.4,17.2,13.2,277.5,633.3,119.7,118.6,53.8,98.5,41.5,9.1,3.6,0.0,0.0,2.5,66.7,17.0,7.5,59.3,1.0,34.5,536.6
"인천",1698.5,744.6,654.1,0.0,167.0,31.5,22.5,72.9,360.2,90.5,12.7,13.6,8.0,56.2,315.8,59.5,43.5,7.3,22.9,62.9,3.3,3.0,0.0,0.0,11.3,76.1,2.0,1.0,9.2,0.0,13.8,638.1
"광주",1169.1,442.6,384.6,0.0,128.5,76.4,13.0,73.7,93.0,58.0,10.7,6.1,14.8,26.4,333.4,58.3,39.8,20.9,50.4,42.3,0.6,0.3,0.6,0.0,0.5,64.3,8.1,0.2,1.2,0.1,45.8,393.1
"대전",1322.5,439.0,392.8,0.0,127.4,45.1,33.5,107.7,79.1,46.2,6.1,10.9,0.0,29.2,470.6,158.3,93.0,15.4,50.1,63.6,0.6,0.3,0.0,0.0,0.6,85.0,0.2,1.6,0.0,0.0,1.9,412.9
"울산",1059.1,406.7,306.4,0.0,102.0,37.1,27.5,62.0,77.8,100.3,26.5,9.6,24.8,39.4,387.9,99.1,49.7,45.4,18.5,38.9,6.4,0.1,0.0,0.1,0.4,103.9,8.1,2.0,5.3,2.0,8.0,264.5
"세종",52.3,33.2,27.3,13.9,2.9,1.3,1.7,1.6,5.9,5.9,0.2,1.2,1.9,2.6,10.1,1.8,1.8,1.0,0.6,1.1,0.9,0.1,0.1,0.0,0.1,0.6,0.1,0.5,1.4,0.0,0.0,9.0
"경기",8567.9,3461.0,3285.0,0.9,1217.9,391.0,293.8,527.8,853.6,176.0,12.8,14.5,26.0,122.7,2522.2,803.8,476.0,147.2,289.0,238.2,41.7,13.9,0.1,0.0,6.1,219.4,43.9,38.2,44.2,0.5,160.0,2584.7
"강원",1843.3,893.4,656.1,31.6,165.7,59.4,54.7,128.3,216.4,237.3,29.4,38.7,54.9,114.3,702.6,201.3,72.1,79.7,41.4,21.8,23.2,2.2,4.2,5.1,1.5,156.4,7.2,41.2,30.7,0.9,13.7,247.3
"충북",1556.7,648.1,449.0,9.9,190.7,47.0,18.3,61.5,121.6,199.1,9.9,12.7,78.5,98.0,613.4,221.6,41.5,13.0,52.7,32.9,22.0,9.5,0.0,0.0,0.8,142.5,5.6,40.8,15.3,0.0,15.2,295.2
"충남",1946.7,902.3,652.9,12.7,198.1,63.9,52.1,144.4,181.7,249.4,42.2,50.3,21.6,135.3,618.9,145.3,42.0,16.7,29.5,17.9,6.0,1.6,0.6,0.0,3.5,253.3,5.0,64.2,6.8,0.0,26.5,425.5
"전북",1558.0,687.7,573.3,5.7,188.2,54.4,46.9,109.5,168.6,114.4,17.4,19.8,21.2,56.0,382.6,100.4,53.3,18.1,47.6,32.5,3.1,0.4,0.1,0.0,0.9,17.2,19.4,53.5,24.8,0.5,10.8,487.7
"전남",1798.9,952.0,853.2,13.2,275.7,53.0,49.7,124.2,337.4,98.8,18.0,10.3,29.8,40.7,489.0,199.0,26.0,10.5,25.9,10.5,7.1,2.0,1.5,0.5,1.4,79.5,4.8,94.1,16.1,0.5,9.6,357.9
"경북",2349.8,1314.9,1083.3,13.6,380.3,110.5,56.4,157.5,365.0,231.6,19.8,24.1,50.3,137.4,544.6,190.9,41.8,14.9,23.6,14.3,8.6,0.3,0.0,0.0,1.3,123.5,7.5,81.7,9.7,1.4,25.1,490.3
"경남",3187.9,1584.9,1301.0,26.6,495.5,106.4,102.5,323.9,246.1,283.9,65.2,29.9,59.3,129.5,883.1,212.2,94.9,43.1,50.5,56.5,10.1,0.1,0.2,0.0,0.4,244.8,20.9,51.1,11.8,2.2,84.3,719.9
"제주",740.5,335.6,231.9,12.4,118.1,30.2,14.9,25.2,31.1,103.7,32.8,10.8,21.2,38.9,219.0,74.2,12.6,13.2,39.9,1.7,0.0,0.0,0.0,0.0,0.1,60.3,6.0,9.9,0.8,0.0,0.3,185.9
