"시도(1)",시도(2),시도(3),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
"시도(1)",시도(2),시도(3),총계,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,종량제방식에의한혼합배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,재활용품 분리 배출,음식물류폐기물분리배출
"시도(1)",시도(2),시도(3),소계,소계,가연성,가연성,가연성,가연성,가연성,가연성,가연성,불연성,불연성,불연성,불연성,불연성,소계,종이류,폐유리병류,캔류,플라스틱류,합성수지류,폐전기전자제품,폐전지류,타이어,윤활유,폐형광등,고철류,폐의류,영농폐기물,폐가구류,기타,소계
"시도(1)",시도(2),시도(3),소계,소계,소계,음식물류폐기물,폐지류,폐목재류,폐고무류,플라스틱류,기타,소계,폐유리류,폐금속류,폐토사류,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"인천",발생량,소계,1794.7,742.4,580.7,6.1,95.6,29.2,21.0,24.1,404.7,161.7,19.7,30.8,10.7,100.5,407.7,69.2,54.9,7.7,23.7,33.0,1.6,0.1,0.0,0.0,0.6,197.0,2.0,0.1,13.9,3.9,644.6
"인천",처리량,매 립,165.7,164.4,3.2,0.1,0.0,0.5,0.1,0.6,1.9,161.2,19.6,30.5,10.7,100.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.3
"인천",처리량,소 각,586.5,577.7,577.4,5.9,95.6,28.7,20.9,23.5,402.8,0.3,0.1,0.1,0.0,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.8
"인천",처리량,재활용,1042.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,407.7,69.2,54.9,7.7,23.7,33.0,1.6,0.1,0.0,0.0,0.6,197.0,2.0,0.1,13.9,3.9,634.5
"광주",발생량,소계,1303.0,502.2,425.2,0.0,105.2,55.4,20.3,105.0,139.3,77.0,5.3,11.4,17.9,42.4,313.5,51.4,58.3,21.4,43.3,24.2,0.2,0.0,0.1,0.0,0.3,47.3,5.7,2.3,10.1,48.9,487.3
"광주",처리량,매 립,255.0,255.0,183.2,0.0,41.3,30.2,11.8,29.7,70.2,71.8,4.4,11.1,17.5,58.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
"광주",처리량,소 각,247.2,247.2,242.0,0.0,63.9,25.2,8.5,75.3,69.1,5.2,0.9,0.3,0.4,3.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
"광주",처리량,재활용,800.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.5,51.4,58.3,21.4,43.3,24.2,0.2,0.0,0.1,0.0,0.3,47.3,5.7,2.3,10.1,48.9,487.3
"대전",발생량,소계,1277.0,423.4,384.1,0.0,77.2,8.8,7.2,60.4,230.5,39.3,3.2,22.0,2.0,12.1,433.6,154.5,82.9,16.6,61.3,42.1,1.0,0.0,0.0,0.0,0.6,57.6,1.5,0.4,0.0,15.1,420.0
"대전",처리량,매 립,194.8,194.8,169.9,0.0,39.3,3.2,2.8,29.5,95.1,24.9,2.3,11.9,1.6,9.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
