"","거래일자","종목명","종가"
"162",20210104,"극동유화보통주",3435
"163",20210104,"글로벌스탠다드테크놀로지",17300
"164",20210118,"글로벌에스엠테크리미티드",1030
"165",20210104,"글로벌텍스프리",3090
"166",20210104,"글로본",3975
"167",20210104,"글로스퍼랩스",9810
"168",20210104,"금강공업보통주",5530
"169",20210104,"금강철강",3550
"170",20210104,"금비보통주",76300
"171",20210104,"금양보통주",6730
"172",20210104,"금호산업보통주",8840
"173",20210104,"금호석유화학보통주",151000
"174",20210104,"금호에이치티보통주",2575
"175",20210104,"금호전기보통주",3225
"176",20210104,"금호타이어보통주",3710
"177",20210104,"금화피에스시",28050
"178",20210104,"기가레인",3050
"179",20210104,"기산텔레콤",2645
"180",20210104,"기신정기 보통주",3615
"181",20210104,"기아자동차보통주",64000
"182",20210104,"까뮤이앤씨보통주",3030
"183",20210104,"까스텔바작",10900
"184",20210104,"깨끗한나라보통주",4295
"185",20210104,"나노",1495
"186",20210104,"나노브릭",19200
"187",20210104,"나노스",3465
"188",20210104,"나노신소재",39300
"189",20210104,"나노엔텍",8670
"190",20210104,"나노캠텍",1990
"191",20210104,"나눔테크",2605
"192",20210104,"나라엠앤디",13300
"193",20210104,"나무가",21150
"194",20210104,"나무기술",3120
"195",20210104,"나스미디어",31400
"196",20210104,"나우아이비캐피탈",7330
"197",20210104,"나우코스",7230
"198",20210104,"나이벡",43650
"199",20210104,"나이스디앤비",9740
"200",20210104,"나이스정보통신",29650
"201",20210104,"나이스평가정보",24350
"202",20210104,"나인테크",4815
"203",20210104,"남광토건보통주",13450
"204",20210104,"남선알미늄보통주",4530
"205",20210104,"남성보통주",4305
"206",20210104,"남양유업보통주",282000
"207",20210104,"남해화학보통주",8420
"208",20210104,"남화산업",10700
"209",20210104,"남화토건",12500
"210",20210104,"네스엠",2860
"211",20210330,"네오리진",2250
"212",20210104,"네오셈",3900
"213",20210104,"네오오토",5260
"214",20210104,"네오위즈",22350
"215",20210104,"네오위즈홀딩스",16400
"216",20210104,"네오크레마",8800
"217",20210104,"네오티스",3930
"218",20210104,"네오팜",28400
"219",20210104,"네오펙트",3495
"220",20210104,"네온테크",2930
"221",20210104,"네이블커뮤니케이션즈",5400
"222",20210104,"네이처셀",10200
"223",20210104,"네추럴에프앤피",2305
"224",20210104,"네패스",43250
"225",20210104,"네패스아크",53500
"226",20210104,"넥센보통주",4530
"227",20210104,"넥센타이어보통주",6100
"228",20210104,"넥스턴",11850
"229",20210104,"넥스트비티",1640
"230",20210104,"넥스트사이언스보통주",5390
"231",20210104,"넥스트아이",1645
"232",20210104,"넥스트엔터테인먼트월드",7300
"233",20210104,"넥스틴",171000
"234",20210104,"넥슨지티",12950
"235",20210104,"넵튠",27400
"236",20210104,"넷게임즈",11500
"237",20210104,"넷마블보통주",131000
"238",20210104,"노드메이슨",11400
"239",20210104,"노랑풍선",23650
"240",20210104,"노루페인트 보통주",9730
"241",20210104,"노루홀딩스보통주",10900
"242",20210104,"노바렉스",38800
"243",20210104,"노바텍",40350
"244",20210104,"노브메타파마",25200
"245",20210104,"노터스",24850
"246",20210104,"녹십자랩셀",119700
"247",20210104,"녹십자보통주",475000
"248",20210104,"녹십자셀",60300
"249",20210104,"녹십자엠에스",16200
"250",20210104,"녹십자웰빙",14700
"251",20210104,"녹십자홀딩스보통주",53600
"252",20210104,"녹원씨엔아이",5200
"253",20210104,"농심보통주",296500
"254",20210104,"농심홀딩스보통주",77600
"255",20210104,"농업회사법인 아시아종묘",5720
"256",20210104,"농업회사법인농우바이오",10500
"257",20210104,"누리텔레콤",8530
"258",20210104,"누리플랜",6700
"259",20210104,"뉴로스",3220
"260",20210104,"뉴보텍",1560
"261",20210104,"뉴인텍",3140
"262",20210104,"뉴지랩",12900
"263",20210104,"뉴트리",24650
"264",20210104,"뉴파워프라즈마",6600
"265",20210104,"뉴프렉스",2365
